unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1777,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname,
Immatriculirte Advocaten,,,,,Johann August Triller,neu,zu Eisenberg,,,,,,,,,,,Johann,August,,,,Triller,
Immatriculirte Advocaten,,,Q507395,,Christian Gottfried Freisleben,neu,zu Eisenberg,Commissions-Secretarius,,,,,,,,,,Christian,Gottfried,,,,Freisleben,
Immatriculirte Advocaten,,,,,Georg Gottfried Richter,neu,zu Eisenberg,,,,,,,,,,,Georg,Gottfried,,,,Richter,
Immatriculirte Advocaten,,,,,Johann Christian Nebel,neu,zu Altenburg,,,,,,,,,,,Johann,Christian,,,,Nebel,
Immatriculirte Advocaten,,,,,Johann Joseph  Klein,neu,zu Eisenberg,,,,,,,,,,,Johann,Joseph,,,,Klein,
Immatriculirte Advocaten,,,,,Johann Christian von Brock,neu,zu Altenburg,,,,,,,,,,,Johann,Christian,,,,von Brock,
Immatriculirte Advocaten,,,,,Salomon Dietrich,neu,zu Camburg,,,,,,,,,,,Salomon,,,,,Dietrich,
Immatriculirte Advocaten,,,,,Georg Friedrich Richter,neu,zu Schmölla,,,,,,,,,,,Georg,Friedrich,,,,Richter,
Immatriculirte Advocaten,,,,,Jahann Gottlob Feller,neu,zu Ronneburg,,,,,,,,,,,Jahann,Gottlob,,,,Feller,
Immatriculirte Advocaten,,,,,Gottlob Christian Friedrich Beyer,neu,zu Cahla,,,,,,,,,,,Gottlob,Christian,Friedrich,,,Beyer,
Immatriculirte Advocaten,,,Q495901,,Friedrich August Müller,neu,zu Cahla,,,,,,,,,,,Friedrich,August,,,,Müller,
Immatriculirte Advocaten,,,,,Jahann Gottlob Voigt,neu,zu Ronneburg,,,,,,,,,,,Jahann,Gottlob,,,,Voigt,
Immatriculirte Advocaten,,,,,Carl Gottlob Ludwig Raumann,neu,zu Schmölla,,,,,,,,,,,Carl,Gottlob,Ludwig,,,Raumann,
Immatriculirte Advocaten,,,,,Jahann Daniel Schuster,neu,zu Roda,,,,,,,,,,,Jahann,Daniel,,,,Schuster,
Immatriculirte Advocaten,,,,,Anton Christian Bernsbach,neu,zu Altenburg,,,,,,,,,,,Anton,Christian,,,,Bernsbach,
Immatriculirte Advocaten,,,,,Carl August Friedrich Knackfuß,neu,zu Altenburg,,,,,,,,,,,Carl,August,Friedrich,,,Knackfuß,
Immatriculirte Advocaten,,,,,Johann August Zschackwitz,neu,zu Altenburg,,,,,,,,,,,Johann,August,,,,Zschackwitz,
Immatriculirte Advocaten,,,,,Johann Benjamin Zschackwitz,neu,zu Altenburg,,,,,,,,,,,Johann,Benjamin,,,,Zschackwitz,
Immatriculirte Advocaten,,,,,Carl Gottlob Kreß,neu,zu Schmölla,,,,,,,,,,,Carl,Gottlob,,,,Kreß,
Immatriculirte Advocaten,,,,,Johann August Neumann,neu,zu Camburg,,,,,,,,,,,Johann,August,,,,Neumann,
Immatriculirte Advocaten,,,,,Johann Möbius ,neu,zu Eisenberg,,,,,,,,,,,Johann,,,,,Möbius ,
Canzley Bothen,Q511809,,Q507406,Johann Friedrich Stedtfeldt,Johann Friedrich Stedtfeldt,unverändert,,,,,,,,,,,,,,,,,,
Canzley Bothen,Q511809,,Q507442,Johann Michael Gimprl,Johann Michael Gimprl,unverändert,,,,,,,,,,,,,,,,,,
Canzley Bothen,Q511809,,Q507403,Georg Friedrich Stedtfeld,Georg Friedrich Stedtfeld,unverändert,,,,,,,,,,,,,,,,,,
Canzley Bothen,Q511809,,,Johann Friedrich Kauth,Johann Friedrich Kauth,unverändert,,,,,,,,,,,,,,,,,,
Herzogliches Consistorium zu Altenburg,Q506857,,Q174716,Ottocar Johann Ernst Ludwig von Seebach,Ottocar Johann Ernst Ludwig von Seebach,unverändert,Geheimer Rath,Consistorial Präsident,,,,,,,,,,,,,,,,
Herzogliches Consistorium zu Altenburg,Q506857,,Q507428,M. Gotthilf Friedemann Löber,M. Gotthilf Friedemann Löber,unverändert,Consistorial-Rath,General Superintendend,,,,,,,,,,,,,,,,
Herzogliches Consistorium zu Altenburg,Q506857,,Q507823,Wilhelm von Wollzogen,Wilhelm von Wollzogen,unverändert,Cammerherr,Geheimer Regierungsrath,Consistorial-Rath,,C,,,,,Freiherr,,,,,,,,
Herzogliches Consistorium zu Altenburg,Q506857,,Q507800,Gottlob von Beust,Gottlob von Beust,unverändert,Geheimer Legatiosrath,Hof-Rath,Consistorial-Rath,,,,,,,,,,,,,,,
Herzogliches Consistorium zu Altenburg,Q506857,,Q513242,Carl Cristian Anton von Schwarzenfels,Carl Cristian Anton von Schwarzenfels,unverändert,Hof- Rath,Consistorial-Rath,,,,,,,,,,,,,,,,
Herzogliches Consistorium zu Altenburg,Q506857,,,Johann Heinrich  von Schulenburg,Johann Heinrich  von Schulenburg,unverändert,Hof- Rath,Consistorial-Rath,,,,,,,,,,,,,,,,
Herzogliches Consistorium zu Altenburg,Q506857,,,Friedrich Carl Adolph von Trützschler,Friedrich Carl Adolph von Trützschler,unverändert,Hof- Rath,Consistorial- Rath,,,,,,,,,,,,,,,,
Herzogliches Consistorium zu Altenburg,Q506857,,,Christian Friedrich Körber,Christian Friedrich Körber,unverändert,Hof- Rath,Consistorial- Rath,,,,,,,,Dr.,,,,,,,,
Herzogliches Consistorium zu Altenburg,Q506857,,Q507094,M. Christian Friedrich Börner,M. Christian Friedrich Börner,andere Qualli,Hof- Rath,Consistorial- Rath,,,,,,,,Magister,,,,,,,,
Land Kirchen Inspector,,,Q507094,,M. Christian Friedrich Börner,neu,Consistorial- Assessor,,,,,,,,,Magister,,Christian,Friedrich,,,,Börner,
Consistorial-Canzley,Q506829,,Q507236,Johann Wilhelm Bechstein,Johann Wilhelm Bechstein,unverändert,Bothenmeister,,,,,,,,,,,,,,,,,
Consistorial-Canzley,Q506829,,,Johann Georg Scholber,Johann Georg Scholber,unverändert,Consitistorial-Registrator,,,,,,,,,,,,,,,,,
Consistorial-Canzley,Q506829,,Q507365,Johann Gottlob Becker,Johann Gottlob Becker,unverändert,Canzellist,,,,,,,,,,,,,,,,,
Consistorial-Canzley,Q506829,,,,Anton Christian Bernsbach,neu,Acceßist,,,,,,,,,,,Anton,Christian,,,,Bernsbach,
Consistorial- Bothe,Q506881,,Q28721,Johann Friedrich Fuchs,Johann Friedrich Fuchs,unverändert,,,,,,,,,,,,,,,,,,
Herzogliches Cammercolegium zu Altenburg,Q511810,,Q513415,Friedrich Heinrich von Einsiedel,Friedrich Heinrich von Einsiedel,unverändert,Wirklicher Geheimer Rath,Cammer-Präsident,Ober-Steuer Director,,,,,,,,,,,,,,,
Herzogliches Cammercolegium zu Altenburg,Q511810,,Q422220,Johann August Alexander von Seebach,Johann August Alexander von Seebach,unverändert,Cammer-Herr,Cammer-Rath,Ober-Steuer Einnehmer,,,,,,,,,,,,,,,
Herzogliches Cammercolegium zu Altenburg,Q511810,,Q156460,Heinrich August Herr,Heinrich August Herr,unverändert,Cammer-Rath,,,,,,,,,,,,,,,,,
Herzogliches Cammercolegium zu Altenburg,Q511810,,,Ludwig Wilhelm von Grießheim,Ludwig Wilhelm von Grießheim,unverändert,Cammer-Rath,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,Q507047,Johann Christian Jähning,Johann Christian Jähning,unverändert,Renth-Verwalter,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,Q507324,Carl Friedrich Persch,Carl Friedrich Persch,unverändert,Vorsteher-Amtsverweser,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,Q507589,Friedrich Carl Günther Lenz,Friedrich Carl Günther Lenz,unverändert,Renth-Secretarius,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,Q507443,Christian Gottlob Richter,Christian Gottlob Richter,unverändert,Cammer-Bothenmeister,Jagd-Frohngelder-Einnehmer,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,Q507586,Georg Tobias Pabst,Georg Tobias Pabst,unverändert,Renthmeister,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,Q507376,Carl Gottlieb Baunack,Carl Gottlieb Baunack,unverändert,Cammer-Commissarius,deutscher Ordens-Haus Einnehmer,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,Q513388,Johann Gottfried Straube,Johann Gottfried Straube,unverändert,Forst Secretar,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,Q507470,Johann Gottlieb Streicher,Johann Gottlieb Streicher,unverändert,Cammer-Canzllist,Cammer Einnehmer,Tranksteuer-Einnehmer,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,,,Christian Gottlob Pierer,neu,Rent-Secretarius,Cammer Archivarius,,,,,,,,,,Christian,Gottlob,,,,Pierer,
Rentherey zu Altenburg,Q506814,,Q507047,Johann Christian Jähning,Johann Christian Jähning,unverändert,Cammer-Canzellis,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,Q507850,Johann Gottfried Elias Heusinger,Johann Gottfried Elias Heusinger,unverändert,Adjuncrus beim Vorsteher-Amt,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,,Johann Christian Meiner,Johann Christian Meiner,unverändert,Asseßist,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,,,Johann Georg Stötzel,neu,Renthereydiener,,,,,,,,,,,Johann,Georg,,,,Stötzel,
Rentherey zu Altenburg,Q506814,,,Johann Friedrich Büchner,Johann Friedrich Büchner,unverändert,Zehendmeister,,,,,,,,,,,,,,,,,
Rentherey zu Altenburg,Q506814,,,Christian Ehrenfried Gernhard,Christian Ehrenfried Gernhard,unverändert,Cammer-Bothe,,,,,,,,,,,,,,,,,
"Expedition beim Forstwesen, Altenburg",Q506886,,Q507631,Christoph Friedrich Rolle,Christoph Friedrich Rolle,andere Qualli,Forst-Commissar,,,,,,,,,,,,,,,,,
"Expedition beim Forstwesen, Altenburg",Q506886,,Q513388,Johann Gottfried Straube,Johann Gottfried Straube,unverändert,Forst-Secretar,,,,,,,,,,,,,,,,,
"Expedition beim Forstwesen, Altenburg",Q506886,,,Johann Mathes Liebing,Johann Mathes Liebing,andere Qualli,Forst-Commissar,,,,,,,,,,,,,,,,,
"Expedition beim Forstwesen, Altenburg",Q506886,,Q507650,Carl Friedrich Knackfuß,Carl Friedrich Knackfuß,unverändert,Forst-Geometra,,,,,,,,,,,,,,,,,
"Expedition beim Forstwesen, Altenburg",Q506886,,,Anton Ludwig Starckloff,Anton Ludwig Starckloff,unverändert,Forst-Commissar,,,,,,,,,,,,,,,,,
Post-Bediente zu Altenburg,,,,Johann Heinrich Gottlieb Hebensteit,Johann Heinrich Gottlieb Hebensteit,unverändert,Cammer-Commisions,Postmeister zu Altenburg,,,,,,,,,,,,,,,,
Post-Bediente zu Altenburg,,,,Carl Friedrich Poppe,Carl Friedrich Poppe,unverändert,Posthalter zu Gößnitz,,,,,,,,,,,,,,,,,
Post-Bediente zu Altenburg,,,,Johann Gottlob Geller,Johann Gottlob Geller,unverändert,Postverwalter zu Meuselwitz,,,,,,,,,,,,,,,,,
Post-Bediente zu Altenburg,,,,Johann Wilhelm Kirchner,Johann Wilhelm Kirchner,unverändert,Postverwalter zu Ronneburg,,,,,,,,,,,,,,,,,
Post-Bediente zu Altenburg,,,,Johann Günther Roth,Johann Günther Roth,unverändert,Post-Exprediteur zu Uhlstädt,,,,,,,,,,,,,,,,,
Post-Bediente zu Altenburg,,,,Johann Georg Bermel,Johann Georg Bermel,unverändert,Posthalter,,,,,,,,,,,,,,,,,
Floßbediete zu Altenburg,Q511813,,Q98256,Johann Heinrich August Stopfel,Johann Heinrich August Stopfel,unverändert,Cammer-Commißions-Rath,Oberfloß-Commissarius,,,,,,,,,,,,,,,,
Floßbediete zu Altenburg,Q511813,,,Johann Anton Stopfel,Johann Anton Stopfel,unverändert,Salz-Schreiber,Floßschreiber zu Reusuiza,,,,,,,,,,,,,,,,
Floßbediete zu Altenburg,Q511813,,Q507584,Johann Friedrich Böttger,Johann Friedrich Böttger,unverändert,Floßschreiber,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,Q462905,Christoph Müller,Christoph Müller,unverändert,Bau Verwalter,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,,Johann Friedrich Maul,Johann Friedrich Maul,unverändert,Haf Tapeten-Meister,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,Q507495,Georg Heinrich Keil,Georg Heinrich Keil,unverändert,Hof-Röhrenmeister,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,Q507527,Johann Christoph Bernstein,Johann Christoph Bernstein,unverändert,Steinsetzer,Geometra,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,Q507604,Johann Gottlieb Pauli,Johann Gottlieb Pauli,unverändert,Hof-Schieferdecker,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,Q507392,Johann David Franke,Johann David Franke,unverändert,Hof-Steinmetz,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,,Friedrich August Fritsche,Friedrich August Fritsche,unverändert,Hofzimmermann,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,Q507384,Christian Friedrich Fohwergk,Christian Friedrich Fohwergk,unverändert,Hofschlosser zu Ronneburg,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,,Johann Josef Baumgarten,Johann Josef Baumgarten,unverändert,Hofmaurer zu Eisenberg,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,,Johann Georg Stöckingt,Johann Georg Stöckingt,unverändert,Hofschlösser,,,,,,,,,,,,,,,,,
Bau-Amt zu Altenburg,Q511814,,,,Georg Zschamper,neu,Hoftischler,,,,,,,,,,,Georg,,,,,Zschamper,
Bau-Amt zu Altenburg,Q511814,,,,Johann Gottlieb Kandler,neu,Maurer zu Eisenberg,,,,,,,,,,,Johann,Gottlieb,,,,Kandler,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507125,Johann Lenz,Johann Lenz,unverändert,Hof-Chirurgus,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,,Carl Friedrich Ragel,neu,Hof-Apotheker,,,,,,,,,,,Carl,Friedrich,,,,Ragel,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q260542,Ernst Adolph Stein,Ernst Adolph Stein,unverändert,Hof-Traiteur,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507316,Christian Heinrich Walther,Christian Heinrich Walther,unverändert,Hofbuchdrucker zu Eisenberg,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507474,Johann Friedrich Heilmann,Johann Friedrich Heilmann,unverändert,Uhrmacher,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q513295,Johann Gottfried Pforr,Johann Gottfried Pforr,unverändert,Hof-Traiteur zu Eisenberg,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,Christian Friedrich Heinrich Schildbach,Christian Friedrich Heinrich Schildbach,unverändert,Hof Tapetenmahler,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507342,Erdmann Friedrich Müller,Erdmann Friedrich Müller,unverändert,Hof-Silberscheider,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,Johann Friedrich Saupe,Johann Friedrich Saupe,unverändert,Hoftapezierer,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507394,,Johann Gottfried Franke,neu,Hof-Peruquier,,,,,,,,,,,Johann,Gottfried,,,,Franke,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,Johann Christian Schulze,Johann Christian Schulze,unverändert,Hof-Peruquier,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507795,Christian Gottlieb Leurentii,Christian Gottlieb Leurentii,unverändert,Hof-Buchbinder,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507889,Johann Ernst Hempel,Johann Ernst Hempel,unverändert,Hof-Seifensieder,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q513387,Johann Wilhelm Günther,Johann Wilhelm Günther,unverändert,Hof-Posamentirer,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507970,Johann Michael Loy,Johann Michael Loy,unverändert,Hofmälzer,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507721,Johann Georg Blumenau,Johann Georg Blumenau,unverändert,Hofwagner,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507374,Carl Cristian Jenichen,Carl Cristian Jenichen,unverändert,Hof-Seiler,Jagdseiler,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507517,Georg Peter Sellmann,Georg Peter Sellmann,unverändert,Hof-Kupferschmied,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507810,Johann Gottlieb Meyner,Johann Gottlieb Meyner,unverändert,Hof-Kupferschmied,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507610,Johann Samuel Benzing,Johann Samuel Benzing,unverändert,Hofböttger,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507494,Johann Zettsche,Johann Zettsche,unverändert,Hofzinngießer,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507514,Johann Gottlieb Stein,Johann Gottlieb Stein,unverändert,Hof-Barettkramer,Hut-Staffierer,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507594,Johann Martin Böttger,Johann Martin Böttger,unverändert,Hofriemer,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,Christian Friedrich Pußscher,Christian Friedrich Pußscher,unverändert,Hofschuster,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q513261,Georg Christoph Lindemann,Georg Christoph Lindemann,unverändert,Hofdrechsler,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507787,Johann Gottfried Misselwitz,Johann Gottfried Misselwitz,unverändert,Hofsattler,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507867,Johann Christian Rothe,Johann Christian Rothe,unverändert,Hofmetzger,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507321,Johann Christian Wassermann,Johann Christian Wassermann,unverändert,Hof-Schmiedt,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,Johann Friedrich Lindner,Johann Friedrich Lindner,unverändert,Hofschuster zu Ronneburg,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507326,Michael Döring ,Michael Döring ,unverändert,Hofmüller,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,Johann Christian Friedrich,Johann Christian Friedrich,unverändert,Hof-Oefssentehrer,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q507651,Johann Wolfgang Wild,Johann Wolfgang Wild,unverändert,Hof-Zuckerbäcker,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q513300,Johann Friedrich Siegel,Johann Friedrich Siegel,unverändert,Hoffleischer zu Ronneburg,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,Q513302,Johann Christoph Vogel,Johann Christoph Vogel,unverändert,Hoftischler,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,Johann Jacob Funger,Johann Jacob Funger,unverändert,Hofnagelschmied,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,Johann Christoph Jahn,Johann Christoph Jahn,unverändert,Hof-Sägenschmied,,,,,,,,,,,,,,,,,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,,Johann Christian Zschiegner,neu,Hof-Becker zu Ronneburg,,,,,,,,,,,Johann,Christian,,,,Zschiegner,
"Hofbefreite, Künstler und Handwerker zu Altenburg",Q511815,,,,Christian Gottlob Drechßler,neu,Hof-Klempner,,,,,,,,,,,Christian,Gottlob,,,,Drechßler,
Herzogl. Ober-Steuer-Collegium zu Altenburg,Q506771,,Q513415,Friedrich Heinrich von Einsiedel,Friedrich Heinrich von Einsiedel,unverändert,Wirklicher Geheimer Rath,Cammer-Präsident,Ober-Steuer-Direktor,,,,,,,,,,,,,,,
Herzogl. Ober-Steuer-Collegium zu Altenburg,Q506771,,Q422220,Johann August Alexander von Seebach,Johann August Alexander von Seebach,unverändert,Cammerherr,Cammer-Rath,Ober-Steuer-Einnehmer wegen des Herzogl. Cammer-Collegii,,,,,,,,,,,,,,,
Herzogl. Ober-Steuer-Collegium zu Altenburg,Q506771,,,,Friedrich Carl Adam  von Schwarzenfels,neu,Ober-Amts-Hauptmann zu Tonna,Obersteuereinnehmer wegen des Saal-Creyfes,,,,,,,,,,,,,,,,
Herzogl. Ober-Steuer-Collegium zu Altenburg,Q506771,,,Georg Friedrich von Berlepsch,Georg Friedrich von Berlepsch,unverändert,Stiftsrat zu Zetz,Domherr des Stifts Naumburg,Steuer Ober Einnehmer wegen des eisenbergischen Ereyses,,,,,,,,,,,,,,,
Herzogl. Ober-Steuer-Collegium zu Altenburg,Q506771,,Q507221,Christian Ernst Eilhard,Christian Ernst Eilhard,unverändert,Commissions-Rath,Steuer-Ober-Einehmer wegen der Stadt Altenburg,Bürgermeister daselbst,,,,,,,,,,,,,,,
Herzogl. Ober-Steuer-Collegium zu Altenburg,Q506771,,Q507642,Johann Gottfried Bachmann,Johann Gottfried Bachmann,unverändert,Steuer-Ober-Einehmer wegen der Stadt Saalfeld,Bürgermeister daselbst,,,,,,,,,,,,,,,,
Herzogl. Ober-Steuer-Collegium zu Altenburg,Q506771,,,,Johann Heinrich Eisenwinner,neu,Steuer-Ober-Einehmer wegen der Stadt Saalfeld,Bürgermeister daselbst,,,,,,,,,,Johann,Heinrich,,,,Eisenwinner,
Herzogl. Ober-Steuer-Collegium zu Altenburg,Q506771,,Q507545,Christian Gottlieb Tömmlich,Christian Gottlieb Tömmlich,unverändert,Ober-Steuereinnehmer wegen der Creysstadt Eisenberg ,Stadt-Syndicus,,,,,,,,,,,,,,,,
Obersteuer-Canzley zu Altenburg,Q511816,,Q507482,Johann Christoph Prager,Johann Christoph Prager,unverändert,Ober-Steuer-Buchhalter,,,,,,,,,,,,,,,,,
Obersteuer-Canzley zu Altenburg,Q511816,,,,Christian Friedrich Barholomai,neu,Ober-Steuer-Secretarius,,,,,,,,,,,Christian,Friedrich,,,,Barholomai,
Obersteuer-Canzley zu Altenburg,Q511816,,Q507292,Theodor Friedrich Fischer,Theodor Friedrich Fischer,unverändert,Ober-Steuer-Controleur,,,,,,,,,,,,,,,,,
Obersteuer-Canzley zu Altenburg,Q511816,,Q507925,August Friedrich Wagner,August Friedrich Wagner,unverändert,Ober-Steuer-Commissarius,,,,,,,,,,,,,,,,,
Obersteuer-Canzley zu Altenburg,Q511816,,,Joseph Gottfried Winkler,Joseph Gottfried Winkler,unverändert,Ober-Steuer-Schreiber,,,,,,,,,,,,,,,,,
Obersteuer-Canzley zu Altenburg,Q511816,,,Johann August Zackwitz,Johann August Zackwitz,unverändert,Accessist,,,,,,,,,,,,,,,,,
Obersteuer-Canzley zu Altenburg,Q511816,,,Johann Christian Heinrich,Johann Christian Heinrich,unverändert,Steuerdiener,,,,,,,,,,,,,,,,,
Steuer Einnehmer des Herzogtums Altenburg,,,Q507568,Friedrich August Hofmann,Friedrich August Hofmann,andere Qualli,Steuer-Commissarius,Steuereinnehmer des Amtes Altenburg,,,,,,,,,,,,,,,,
Steuer Einnehmer des Herzogtums Altenburg,,,,,Gotthelf Schucharth,neu,Steuer-Cassierer,Steuereinnehmer der Stadt Altenburg,,,,,,,,,,Gotthelf,,,,,Schucharth,
Steuer Einnehmer des Herzogtums Altenburg,,,,,Christian Gottlob Günther,neu,Steuer-Commissarius,Steuereinnehmer der Stadt Schmölla,,,,,,,,,,Christian,Gottlob,,,,Günther,
Steuer Einnehmer des Herzogtums Altenburg,,,Q507285,,Samuel Friedrich Böttner,neu,GeleitsSecretarius,Steuereinnehmer der Stadt Luckau,,,,,,,,,,Samuel,Friedrich,,,,Böttner,
Steuer Einnehmer des Herzogtums Altenburg,,,Q157002,,Johann Christian Voigt,neu,Cammer-Commissarius,Steuereinnehmer der Stadt Ronneburg,,,,,,,,,,Johann,Christian,,,,Voigt,
Steuer Einnehmer des Herzogtums Altenburg,,,,,Christian Heinrich Streit,neu,Steuer-Cassierer,Steuereinnehmer der Stadt Ronneburg,,,,,,,,,,Christian,Heinrich,,,,Streit,
Steuer Einnehmer des Herzogtums Altenburg,,,Q507292,,Theodor Friedrich Fischer,neu,Secretarius,Steuereinnehmer der Ämter Leuchtenburg und Oralmünde und der Stadt Chala,,,,,,,,,,Theodor,Friedrich,,,,Fischer,
Steuer Einnehmer des Herzogtums Altenburg,,,,,Johann Heinrich Schmidt,neu,Steuereinnehmer  der Stadt Orlamünda,,,,,,,,,,,Johann,Heinrich,,,,Schmidt,
Steuer Einnehmer des Herzogtums Altenburg,,,Q507291,,Anton Andreas Cramer,neu,Secretarius,Steuereinnehmer des Amtes und der Stadt Eisenberg,,,,,,,,,,Anton,Andreas,,,,Cramer,
Steuer Einnehmer des Herzogtums Altenburg,,,Q507284,,Friedrich Ludwig Thomä,neu,Cammer-Commissarius,Steuereinnehmer des Amtes und der Stadt Camburg,,,,,,,,,,Friedrich,Ludwig,,,,Thomä,
Steuer Einnehmer des Herzogtums Altenburg,,,Q507524,,Friedrich Immanuel Scheiding,neu,Steuereinnehmer des Amtes und der Stadt Roda,,,,,,,,,,,Friedrich,Immanuel,,,,Scheiding,
Steuer Einnehmer des Herzogtums Altenburg,,,,,Johann Daniel Möbius,neu,"Steuereinnehmer in denheimgelassenen Meusebachischen Ortschaften, Rodaischen Amts-Bezirks",,,,,,,,,,,Johann,Daniel,,,,Möbius,
Steuer Einnehmer des Herzogtums Altenburg,,,,,Johann Jacob Leyh,neu,Secretarius,Steuereinnehmer des Amtes und der Stadt Saalfeld,,,,,,,,,,Johann,Jacob,,,,Leyh,
Steuer Einnehmer des Herzogtums Altenburg,,,,,Johann Paul Andreas Lauer,neu,Steuereinnehmer der Stadt Pößneck,,,,,,,,,,,Johann,Paul,Andreas,,,Lauer,
