unmittelbare Anstellung,Q506999,,Q-1770 Person,1771,1772,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,,Ort,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q513384,Heinrich Salomon Welker,Heinrich Salomon Welker,unverändert,Sekretarii,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q192576,Ludwig Wilhelm Kirchberger,Ludwig Wilhelm Kirchberger,unverändert,Sekretarii,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507009,,,weg,Sekretarii,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507003,,,weg,Gerichts-Registerator,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q262833,Albrecht Carl Brückner,Albrecht Carl Brückner,unverändert,Sekretarii,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q513358,,,weg,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q192629,Georg Lorenz Reinhard Heß,,weg,Lehns Registrator,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,Johann Michael Witzmann,Johann Michael Witzmann,unverändert,Bothenmeister,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507018,Johann Wilhelm Friedrich Steger,Johann Wilhelm Friedrich Steger,unverändert,Actuarius,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507024,Christian Ludwig Stark,Christian Ludwig Stark,unverändert,Kanzlist,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q513411,Johann Christian Weber,Johann Christian Weber,unverändert,Kanzlist,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507019,Gustav Johann Gottfried Tamm,Gustav Johann Gottfried Tamm,unverändert,Actuarius,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507020,Johann Christoph Kerst,Johann Christoph Kerst,unverändert,Kanzlist,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,Andreas Christoph Welker,Andreas Christoph Welker,unverändert,Kanzlist,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,,Friedrich Benjamin Krügelheim,neu,"Registrator, ",Accestist,,,,,,,Friedrich,Benjamin,,,,Benjamin Krügelheim
Ober-Vormundschafts-Expedition,Q506761,,,,,weg,"Registrator, Accestist",,,,,,,,,,,,,
Ober-Vormundschafts-Expedition,Q506761,,Q99182,Johann Christoph Beck,Johann Christoph Beck,unverändert,Lehns Secretarius,Ober Vormundschaftzs Secretarius,,,,,,,,,,,,
Ober-Vormundschafts-Expedition,Q506761,,Q507021,Christian Martin Adolph Tamm,Christian Martin Adolph Tamm,unverändert,Registrator,,,,,,,,,,,,,
Fiscal,Q506895,,Q97818,Christian Ludwig Saul,Christian Ludwig Saul,andere Quali,Rath,Cammer-Consulent,Regierungs Fiscal,,,,,,,,,,,
Ober-Policen Commissarius,Q506797,,Q507022,Johann Friedrich Hartmann,Johann Friedrich Hartmann,unverändert,Ober-Policen Commissarius,,,,,,,,,,,,,
Versetzstube,Q506799,,Q507018,Johann Wilhelm Friedrich Steger,Johann Wilhelm Friedrich Steger,unverändert,Actuarius,Nachschreiber,,,,,,,,,,,,
Versetzstube,Q506799,,Q507024,Cristian Ludwig Stark,Cristian Ludwig Stark,unverändert,Kanzlist,Nachschreiber,,,,,,,,,,,,
Ordinari,Q506803,,Q507026,,,weg,,,,,,,Leutnant,,,,,,,
Ordinari,Q506803,,Q98354,Johann Wilhelm Madelung,Johann Wilhelm Madelung,unverändert,Bürgermeister,,,,,,,,,,,,,
Ordinari,Q506803,,Q507032,Cristoph Heinrich Möller,Cristoph Heinrich Möller,unverändert,Proconsul,,,,,,,,,,,,,
Ordinari,Q506803,,Q507034,,,weg,Landschafts-Consulent,,,,,,,,,,,,,
Ordinari,Q506803,,Q513377,Johann Tobias Thilo,Johann Tobias Thilo,unverändert,,,,,,,,,,,,,,
Ordinari,Q506803,,Q97818,Christian Ludwig Saul,Christian Ludwig Saul,andere Quali,Rath,Cammer Cottsulent,Regierungs Fiscal,,,,,,,,,,,
Ordinari,Q506803,,Q507036,Christian Wislizenus,Christian Wislizenus,unverändert,,,,,,,,,,,,,,
