unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1778,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Amts- und Gerichts-Advocaten,,,Q491,,Johann Carl Heß,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q161248,,Johann Friedrich Lauterbeck,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q495901,,Friedrich August Müller,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q456346,,Ernst Ludwig Hendrich,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,,,Johann Gottfried Golde,neu,,,,,,,,,,,,Johann,Gottfried,,,,Golde
Amts- und Gerichts-Advocaten,,,,,Christian Friedrich Geudebrück,neu,,,,,,,,,,,,Christian,Friedrich,,,,Geudebrück
Regierungs-Canzley,Q506827,,Q513394,Carl Berninger,Carl Berninger,unverändert,,,,,,,,,,,,,,,,,
Regierungs-Canzley,Q506827,,Q507049,Andreas Melchior Hirt,Andreas Melchior Hirt,unverändert,,,,,,,,,,,,,,,,,
Regierungs-Canzley,Q506827,,Q507052,Heinrich Jacob Hirt,Heinrich Jacob Hirt,unverändert,,,,,,,,,,,,,,,,,
Regierungs-Canzley,Q506827,,,Eberhard Martin Höppner,Eberhard Martin Höppner,unverändert,Beybothen,,,,,,,,,,,,,,,,
Regierungs-Canzley,Q506827,,Q97861,David Backhaus,David Backhaus,unverändert,Beybothen,,,,,,,,,,,,,,,,
Regierungs-Canzley,Q506827,,,,Johann Heinrich Hanstein,neu,Beybothen,,,,,,,,,,,Johann,Heinrich,,,,Hanstein
Ober Consistorium Kanzley,Q506903,,,,Friedrich Carl Adam von Schwarzenfelß,neu,Ober-Consistorial,Vice -Praesident,,,,,,,,,,Friedrich,Carl,Adam,,,von Schwarzenfelß
Ober Consistorium Kanzley,Q506903,,Q513401,Johann Heinrich Gerlach,Johann Heinrich Gerlach,andere Qualli,Geheimer Consistorial-Rath,,,,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q43247,Wilhelm Friedrich Stölzel,Wilhelm Friedrich Stölzel,unverändert,Consistorial-Rath,General-Superintendendens,Pastor primarius,,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q41514,Christian Wilhelm Bause,Christian Wilhelm Bause,unverändert,Consistorial-Assessor,Oberhofprediger,,,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,,Friedrich Ernst Heinrich  Hendrich,Friedrich Ernst Heinrich  Hendrich,unverändert,Hof-Rath,Consistorial- Rath,,,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q192558,Johann Ernst Golde,Johann Ernst Golde,unverändert,Secretarius,,,,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q192826,Johann Benjamin Lattermann,Johann Benjamin Lattermann,unverändert,Consistorial-Secretarius,,,,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q99151,Wilhelm Jonathan Löw,Wilhelm Jonathan Löw,unverändert,Consistorial-Registrator,,,,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q192979,Johann August Sommer,Johann August Sommer,andere Qualli,Consistorial-Registrator,,,,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,,Johann Ernst Scharf,Johann Ernst Scharf,unverändert,Consistorial-Actuarius,,,,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,,,Johann Adam Ernst Benedict Gerlach,neu,Actuarius,,,,,,,,,,,Johann,Adam,Ernst,Benedict,,Gerlach
Ober Consistorial-Archiv,Q506904,,Q154940,Christian Friedrich August Brückner,Christian Friedrich August Brückner,unverändert,Archiv-Secretarius,,,,,,,,,,,,,,,,
Consistorial-Bothen,Q506905,,Q507066,Andeas Geyrnsbach,Andeas Geyrnsbach,unverändert,,,,,,,,,,,,,,,,,
Consistorial-Bothen,Q506905,,Q507067,August Jacob Hild,August Jacob Hild,unverändert,,,,,,,,,,,,,,,,,
Consistorial-Bothen,Q506905,,,,Johann Andreas Holbein,neu,Beyboth,,,,,,,,,,,Johann,Andreas,,,,Holbein
Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q28051,Wilhelm von Rotberg,Wilhelm von Rotberg,unverändert,Wirklicher Geheimrat,Cammer-Präsident,Ober-Hofmeister,,,,,,,,,,,,,,
Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q28057,Eberhard Sylvius von Frankenberg,Eberhard Sylvius von Frankenberg,unverändert,Hofmarschall,Cammerrath,,,,,,,,,,,,,,,
Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q28055,Carl Levin Otto von Lenthe,Carl Levin Otto von Lenthe,unverändert,Cammer-Herr,Cammerrath,,,,,,,,,,,,,,,
Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q507809,Johann Wilhelm  von Tümmel,Johann Wilhelm  von Tümmel,andere Qualli,Cammer-Herr,Cammerrath,,,,,,,,,,,,,,,
Cammer Consulent,Q510697,,Q97818,Christian Ludwig Saul,Christian Ludwig Saul,unverändert,Rath,Cammer-Consulent,Regierungs-Fiscal,,,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,Q507073,Christan Friedrich Schmidt,Christan Friedrich Schmidt,unverändert,Land Cammerrath,Rentmeister,,,,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,Q156858,Johann August Möller,Johann August Möller,andere Qualli,Cammer-Commissarius,Steuer-Secretaius,,,,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,Q507074,August Friedrich Waitz,August Friedrich Waitz,unverändert,Cammer-Secretarius,,,,,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,Q507090,Georg Adam Bernhard Lotz,Georg Adam Bernhard Lotz,unverändert,Forst-Secretarius,,,,,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,,Christian Wilhelm Ludwig Gundermann,Christian Wilhelm Ludwig Gundermann,unverändert,Cammer-Secretarius,Cammer Produrator,Regierungs-Fiscal,,,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,,Friedrich Wilhelm Stopffel,Friedrich Wilhelm Stopffel,unverändert,Cammer-Secretar,,,,,,,,,,,,,,,,
Cammer Archiv,Q506910,,Q160600,Friedrich Carl Brückner,Friedrich Carl Brückner,unverändert,Archiv-Secretarius,,,,,,,,,,,,,,,,
Cammer Archiv,Q506910,,Q507075,Johann August Rudolph Heidenreich,Johann August Rudolph Heidenreich,unverändert,Wirklicher-Secretarius,,,,,,,,,,,,,,,,
Cammer Archiv,Q506911,,Q507076,Christian Gottfried Wunderlich,Christian Gottfried Wunderlich,unverändert,Cammer-Registsrator,,,,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507078,Christian Pöhler,Christian Pöhler,andere Qualli,Cammer-Bothenmeister,,,,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507079,Johann Christoph Voigt,Johann Christoph Voigt,unverändert,Actuarius,,,,,,,,,,,,,,,,
