unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1778,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Herzogliche Hofcapelle,Q506927,,,,Ignatius Körber,neu,Waldhornist,,,,,,,,,,,Ignatius,,,,,Körber
Herzogliche Hofcapelle,Q506927,,Q38664,Johann Ludwig Krebs,Johann Ludwig Krebs,unverändert,Hoforganist zu Altenburg,,,,,,,,,,,,,,,,
Herzogliche Hofcapelle,Q506927,,,,Ehrenfried Traugott Krebs,unverändert,Substitt,,,,,,,,,,,,,,,,
Herzogliche Hofcapelle,Q506927,,Q507379,Johann Daniel Flittner,Johann Daniel Flittner,unverändert,Hof-Cantor zu Gotha,,,,,,,,,,,,,,,,
Herzogliche Hofcapelle,Q506927,,Q97385,Johann Christian Hofmann,Johann Christian Hofmann,unverändert,Hof -Orgelmacher,,,,,,,,,,,,,,,,
Herzogliche Hofcapelle,Q506927,,,Christian Gottlob Donati,Christian Gottlob Donati,unverändert,Hof -Orgelbauer zu Altenburg,,,,,,,,,,,,,,,,
Herzogliche Hofcapelle,Q506927,,,Carl Gottlob Winter,Carl Gottlob Winter,unverändert,Hof-Calcant zu Altenburg,,,,,,,,,,,,,,,,
Herzogliche Hofcapelle,Q506927,,Q507877,Georg Reinhard Dinter,Georg Reinhard Dinter,unverändert,Hof-Calcant zu Gotha,,,,,,,,,,,,,,,,
Hof Theater,,,Q914,Heinrich August Ottocar Reichard,Heinrich August Ottocar Reichard,unverändert,Bibliothekar,,,,,,,,,,,,,,,,
Hof Theater,,,Q1399,Conrad Ekhof,Conrad Ekhof,unverändert,,,,,,,,,,,,,,,,,
Hof Theater,,,Q378159,Anton Schweizer,Anton Schweizer,unverändert,Kapellmeister,,,,,,,,,,,,,,,,
Hof Theater,,,,Maria Magdalena Pörtsch,Maria Magdalena Pörtsch,unverändert,Garderobe Aufsicht,,,,,,,,,,,,,,,,
Hof Theater,,,,,Joohann Wilhelm Backhaus,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,,,Friedrich Christian Beck,neu,Schauspieler,,,,,,,,,,,Friedrich,Christian,,,,Beck
Hof Theater,,,,,Johann David Beil,neu,Schauspieler,,,,,,,,,,,Johann,David,,,,Beil
Hof Theater,,,Q134,Johann Michael Böck,Johann Michael Böck,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,Q1399,Conrad Ekhof,Conrad Ekhof,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,Q99166,Johann Christian Frischmuth,Johann Christian Frischmuth,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,,Christian Friedrich Hönicke,Christian Friedrich Hönicke,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,,,Friedrich Koch,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,,,August Wilhelm Ifland,neu,Schauspieler,,,,,,,,,,,August,Wilhelm,,,,Ifland
Hof Theater,,,,,Georg Ludwig Leo,neu,Schauspieler,,,,,,,,,,,Georg,Ludwig,,,,Leo
Hof Theater,,,Q468198,Wilhelm Christian Dietrich Meyer,Wilhelm Christian Dietrich Meyer,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,Q468236,,Christian Ludwig Reuhaus,neu,Schauspieler,,,,,,,,,,,Christian,Ludwig,,,,Reuhaus
Hof Theater,,,,,Johann Ludwig Rennschüb,neu,Schauspieler,,,,,,,,,,,Johann,Ludwig,,,,Rennschüb
Hof Theater,,,Q468220,Carl Julius Christian Schüler,Carl Julius Christian Schüler,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,Q468238,,Carl David Stegmann,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,,Jacob Christoph Stockmann,Jacob Christoph Stockmann,unverändert,Schauspieler,,,,,,,,,,,,,,,,
Hof Theater,,,,,Johann Gottfried Striegler,neu,Schauspieler,,,,,,,,,,,Johann,Gottfried,,,,Striegler
Hof Theater,,,,,Augusta Benda,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
Hof Theater,,,Q439859,Sophia Elisabeth Bock,Sophia Elisabeth Böck,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
Hof Theater,,,,,Christine Sophie Henriette Hartmann,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
Hof Theater,,,,,Charlotta Maria Friderike Krüger,neu,Schauspielerin,,,,,,,,,,,Charlotta,Maria,Friderike,,,Krüger
Hof Theater,,,,Christine Henriette Meyer,Christine Henriette Meyer,unverändert,Souffleuse,,,,,,,,,,,,,,,,
Hof Theater,,,Q468235,,Regina Neuhauß,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
Hof Theater,,,,,Sophie Elisabeth Susanne Preißing,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
Hof Theater,,,Q468219,Joanna Christina Schüler,Joanna Christina Schüler,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
Hof Theater,,,Q468241,,Caroline Johanne Eleonore Stegmann,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
Hof Theater,,,,Joanna Sophia Stockmann,Joanna Sophia Stockmann,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
,,,,,Henriette Wallenstein,neu,Schauspielerin,,,,,,,,,,,Henriette,,,,,Wallenstein
,,,,,Jacob Christoph Stockmann,unverändert,Decorateur,,,,,,,,,,,,,,,,
Hof Theater,,,,Johann August Sommer,Johann August Sommer,unverändert,Kassen Aufseher,,,,,,,,,,,,,,,,
Hof Theater,,,Q192907,Johann Friedrich Gewalt,Johann Friedrich Gewalt,unverändert,Bureau-Einnehmer,,,,,,,,,,,,,,,,
Hof Theater,,,,Christina Elisabethe Pörtsch,Christina Elisabethe Pörtsch,unverändert,erste Contre-Marue,,,,,,,,,,,,,,,,
Hof Theater,,,,Johann Sigismund Zollinger,Johann Sigismund Zolling,anderer FN,Billiet und Zettel-Drucker,,,,,,,,,,,,,,,,
Hof Theater,,,,Johann Jacob Beck,Johann Jacob Beck,unverändert,Theater-Schneider,,,,,,,,,,,,,,,,
Hof Theater,,,,Georg Christian Pillep,Georg Christian Pillep,unverändert,Theater-Friseur,,,,,,,,,,,,,,,,
,,,,,Johann Christian Schönau,neu,Theater-Kutscher,,,,,,,,,,,Johann,Christian,,,,Schönau
Hof Theater,,,,Johann Gottlieb Hofmann,Johann Gottlieb Hofmann,unverändert,Theater-Gehilfe,,,,,,,,,,,,,,,,
Hof Theater,,,,Johann Andreas Schleifer,Johann Andreas Schleifer,unverändert,Theater-Gehilfe,,,,,,,,,,,,,,,,
Hof-Hautboisten-Bande,Q506922,,Q507176,Bartholomäus Voß,Bartholomäus Voß,unverändert,,,,,,,,,,,,,,,,,
Hof-Hautboisten-Bande,Q506922,,Q507318,Johann Daniel Walter,Johann Daniel Walter,unverändert,,,,,,,,,,,,,,,,,
Hof-Hautboisten-Bande,Q506922,,Q507862,Johann Georg Ihme,Johann Georg Ihme,unverändert,,,,,,,,,,,,,,,,,
Hof-Hautboisten-Bande,Q506922,,Q507681,Johann Georg Bremser,Johann Georg Bremser,unverändert,,,,,,,,,,,,,,,,,
Hof-Hautboisten-Bande,Q506922,,Q507841,Johann Lorenz Henkel,Johann Lorenz Henkel,unverändert,,,,,,,,,,,,,,,,,
Hof-Hautboisten-Bande,Q506922,,Q507657,Georg Wilhelm Winterberg,Georg Wilhelm Winterberg,unverändert,,,,,,,,,,,,,,,,,
Hof-Hautboisten-Bande,Q506922,,Q507539,Johann Nicolaus Köhler,Johann Nicolaus Köhler,unverändert,,,,,,,,,,,,,,,,,
,,,Q507377,,Johann Christian Heß,unverändert,,,,,,,,,,,,,,,,,
Bibliotheque,Q506940,,Q271333,Julius Carl Schläger,Julius Carl Schläger,andere Qualli,Hofrath ,Direktor,,,,vacat,,,,,,,,,,,
,,,Q28104,,Julius Wilhelm Hamberger,unverändert,Secretar,erster Bibliothecar,,,,,,,,,,,,,,,
,,,,,Heinrich August Ottocar Reichardt,unverändert,zweiter Bibliothecar,,,,,,,,,,,,,,,,
Bibliotheque,Q506940,,Q513315,Paul Emanuel Richter,Paul Emanuel Richter,unverändert,Bücher-Commissar zu Altenburg,,,,,,,,,,,,,,,,
,,,Q23611,,Carl Wilhelm Ettinger,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
Bibliotheque,Q506940,,Q507347,Johann Georg Schack,Johann Georg Schack,unverändert,Hofbuchbinder,,,,,,,,,,,,,,,,
Bibliotheque,Q506940,,,,Carl Heinrich Ludwig Henne,unverändert,Bibliothec-Diener,,,,,,,,,,,,,,,,
Münz-Cabinet,Q506941,,Q271333,Julius Carl Schläger,Julius Carl Schläger,unverändert,Hofrath ,Antiquarius,,,,,,,,,,,,,,,
Münz-Cabinet,Q506941,,Q507008,Jaques Auguste Rousseau,Jaques Auguste Rousseau,unverändert,Hofrath ,,,,,,,,,,,,,,,,
Münz-Cabinet,Q506931,,Q507187,Johann Ludwig Tietz,Johann Ludwig Tietz,unverändert,Kunst-Cämmerier,Hof-Mahler,Cabinets-Mahler,,,,,,,,,,,,,,
Raritäten-Cabinet,Q506931,,Q507816,Johann Jonas Michael,Johann Jonas Michael,unverändert,Cabinets-Mahler,,,,,,,,,,,,,,,,
Raritäten-Cabinet,Q506920,,Q507175,Johann Conrad Stahl,Johann Conrad Stahl,unverändert,Obergärtner,,,,,,,,,,,,,,,,
Hofgärtnerei,Q506920,,Q23587,Johann Heinrich Voigt,Johann Heinrich Voigt,unverändert,Hofgärtner zu Altenburg,,,,,,,,,,,,,,,,
Hofgärtnerei,Q506920,,Q507961,Johann Christoph Krüger,Johann Christoph Krüger,unverändert,Hofgärtner zu Molsdorf,,,,,,,,,,,,,,,,
Hofgärtnerei,Q506920,,Q507620,Johann August Eichhoff,Johann August Eichhoff,unverändert,Hofgärtner zu Ichtershausen,,,,,,,,,,,,,,,,
Hofgärtnerei,Q506920,,Q507940,Christian Heinrich Wehmeyer,Christian Heinrich Wehmeyer,unverändert,allhier im großen Garten,,,,,,,,,,,,,,,,
Hofgärtnerei,Q506920,,Q507633,Johann Tobias Kremling,Johann Tobias Kremling,unverändert,Hofgärtner zu Reinhardsbrunn,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,,,Q507397,Johann Heinrich Freißlich,Johann Heinrich Freißlich,unverändert,Cammerdiener,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q513374,Johann Friedrich Müller,Johann Friedrich Müller,unverändert,Cammerdiener,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q513288,Johann Jacob Kleinsteuber,Johann Jacob Kleinsteuber,unverändert,Cammerdiener,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q273968,Andreas Gerbert,Andreas Gerbert,unverändert,Hof-Jubeltier,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q507797,Johann Simon Lichtenauer,Johann Simon Lichtenauer,unverändert,Hof-Uhrmacher,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q38670,Christian Ernst Specht,Christian Ernst Specht,unverändert,Hofmahler,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q507595,Georg Friedrich Hahn,Georg Friedrich Hahn,unverändert,Hofgärtner,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q507635,Andreas Austrupp,Andreas Austrupp,unverändert,Hofcommissarius,Hofschneider,Leibschneider,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q507776,Johann Andreas Gerbert,Johann Andreas Gerbert,unverändert,Hof-Jubeltier,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q513286,Johann Gottfried Hückmann,Johann Gottfried Hückmann,unverändert,Hofperuquier,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,,,Johann Andreas Endert,unverändert,Hofschwertfeger,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q513406,Carl Welker,Carl Welker,unverändert,Hof-Knopfmacher,,,,,,,,,,,,,,,,
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,,,Michael Benjamin Oertel,neu,Hofschneider,,,,,,,,,,,Michael,Benjamin,,,,Oertel
verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,,Eusebius Christian Eberhard Fladung,Eusebius Christian Eberhard Fladung,unverändert,Hofschuster,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507173,Georg Meyer,Georg Meyer,neu,Hof-Agent,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507518,Johann Christian Kaupert,Johann Christian Kaupert,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507913,Johann Friedrich Schlippe,Johann Friedrich Schlippe,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507481,Johann Siegmund Voigt,Johann Siegmund Voigt,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507901,Johann Andreas Ricolai,Johann Andreas Ricolai,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507496,Johann Gottlieb Möller,Johann Gottlieb Möller,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507885,Gottlieb Seide,Gottlieb Seide,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507477,Carl Franz Heimburg,Carl Franz Heimburg,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Johann Bernard Reitznadel,Johann Bernard Reitznadel,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507567,Friedrich Benjamin Hofmann,Friedrich Benjamin Hofmann,unverändert,Handels-Commissar zu Altenburg,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507617,Johann Gabriel Erdmann,Johann Gabriel Erdmann,unverändert,Handels-Commissar ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507627,Johann Kraus,Johann Kraus,unverändert,Handels-Commissar ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507627,Traugott Fritsch,Traugott Fritsch,unverändert,Handels-Commissar zu Ronneburg,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507627,Johann Gottlieb Bauch,Johann Gottlieb Bauch,unverändert,Handels-Commissar zu Ronneburg,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Johann Gottlieb Merckel,Johann Gottlieb Merckel,unverändert,Handels-Commissar zu Ronneburg,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Samuel Friedrich Zahn,Samuel Friedrich Zahn,unverändert,Handels-Commissar zu Roda,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Johann Adam Weiße,Johann Adam Weiße,unverändert,Handels-Commissar zu Cahla,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Johann Heinrich Reichenbach,Johann Heinrich Reichenbach,unverändert,Commercien-Commissar zu Altenburg,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Andreas Ausrrup,Andreas Ausrrup,unverändert,HofCommissar ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q513417,Ernst Müller,Ernst Müller,unverändert,Hof-Apotheker,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Johann Bernhard Bodinus,Johann Bernhard Bodinus,unverändert,Hof-Apotheker zu Ichtershausen,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,,Johann Wilhelm Reßler,unverändert,,,,,,,,,,,,Johann,Wilhelm,,,,Reßler
Hof-Befreyte,Q506918,,,,Johann Samuel Werner,unverändert,Hof-Lieferant zu Altenburg,,,,,,,,,,,Johann,Samuel,,,,Werner
Hof-Befreyte,Q506918,,Q507784,Johann Michael Hermann,Johann Michael Hermann,unverändert,Hof-Factor zu Eisenberg,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507182,Johann Wilhelm Dürfeld,Johann Wilhelm Dürfeld,unverändert,Hof-Eisen-Factor zu Gotha,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507639,Johann Ludwig Schildbach,Johann Ludwig Schildbach,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507765,Heinrich Gottlieb Bauer,Heinrich Gottlieb Bauer,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q259344,Johann Friedrich Wenig,Johann Friedrich Wenig,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507923,Johann Gottlob Wacker,Johann Gottlob Wacker,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507820,Christian Andreas Hellmann,Christian Andreas Hellmann,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q77868,Friedrich Christioh Maudrich,Friedrich Christioh Maudrich,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507570,Johann Kindel,Johann Kindel,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507367,Heinrich Sandel,Heinrich Sander,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Johann Michael Zeutschel,Johann Michael Zeutschel,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,August Klug,August Klug,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Johann Gottlob Ammerbach,Johann Gottlob Ammerbach,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,,Johann Friedrich Rockstroh,neu,Hof-Factor ,,,,,,,,,,,Johann,Friedrich,,,,Rockstroh
Hof-Befreyte,Q506918,,Q507770,Johann Christoph Grabner,Johann Christoph Grabner,unverändert,Cammer-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507658,Johann Gottfried Brautgam,Johann Gottfried Brautgam,unverändert,Cammer-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507721,Johann Georg Blumenau,Johann Georg Blumenau,unverändert,Cammer-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507786,Josef Christoph Hermann,Josef Christoph Hermann,unverändert,Cammer-Factor ,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q259344,Johann Friedrich Wenig,Johann Friedrich Wenig,unverändert,Eisen-Factor zu Tonna,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q513173,Johann Georg Hildebrand,Johann Georg Hildebrand,unverändert,Factor,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507574,Johann Christian Bomberg,Johann Christian Bomberg,unverändert,Factor,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507922,Ernst Philipp Rammelberg,Ernst Philipp Rammelberg,unverändert,Factor,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,Q507497,Tobias Querner,Tobias Querner,unverändert,Factor,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Johann Jäningen,Johann Jäningen,unverändert,Factor zu Altenburg,,,,,,,,,,,,,,,,
Hof-Befreyte,Q506918,,,Christian Gottlob Gentsch,Christian Gottlob Gentsch,unverändert,Factor,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q80689,Georg von Hardenberg,Georg von Hardenberg,unverändert,Ober Stallmeister,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507983,Christian Georg von Helmoldt,Christian Georg von Helmoldt,unverändert,Stallmeister,Cammerherr,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507365,Johann Gottlob Becker,Johann Gottlob Becker,unverändert,Ober-Bereuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507583,Otto Anton Otto,Otto Anton Otto,unverändert,Bereuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Friedrich Erdmann Schneider,Johann Friedrich Erdmann Schneider,unverändert,Bereuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507081,Georg Benjamin Zachariä,Georg Benjamin Zachariä,unverändert,Cammer-Agent,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q98232,Johann Georg Wolfram,Johann Georg Wolfram,unverändert,Cammer-Canzlist,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507471,Johann Gottlieb Heidenreich,Johann Gottlieb Heidenreich,unverändert,Hofstall-Posamentirer,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Christian Heinrich Ritter,Christian Heinrich Ritter,unverändert,Hofmahler,Stallmahler,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507437,August Caspar Eißfeld,August Caspar Eißfeld,unverändert,Hofsattler,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507682,Heinrich Christoph Eccarius,Heinrich Christoph Eccarius,unverändert,Hofwagner,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507104,Johann Georg Trinks,Johann Georg Trinks,unverändert,Stallschneider,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507510,Johann Christian Schnabel,Johann Christian Schnabel,unverändert,Stallkürschner,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Jacob Wiegleb,Johann Jacob Wiegleb,unverändert,Hofschreiner,Stallschreiner,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507904,Johann Heinrich Riede,Johann Heinrich Riede,unverändert,Leibknecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q513382,Christoph Henneberg,Christoph Henneberg,unverändert,Reitknecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Georg Nicolaus Dingethal,Georg Nicolaus Dingethal,unverändert,Reitknecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Matthäus  Alkenbrecher,Matthäus  Alkenbrecher,unverändert,Reitknecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507960,Johann Conrad Fliedner,Johann Conrad Fliedner,unverändert,Reitknecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507467,Johann Heinrich Höhn,Johann Heinrich Höhn,unverändert,Reitknecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Carl Kraußer,Johann Carl Kraußer,unverändert,Reitknecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Caspar Henneberg,Johann Caspar Henneberg,unverändert,Reitknecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Andreas Darr,Johann Andreas Darr,unverändert,Reitknecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507933,Ernst Rauschelbach,Ernst Rauschelbach,unverändert,Equipagenmeister,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507611,Johann Jonas Schüchner,Johann Jonas Schüchner,unverändert,Leibkutscher,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507733,Johann Andreas Bobritz jun,Johann Andreas Bobritz jun,unverändert,Leibkutscher,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507511,Valentin Matthäi,Valentin Matthäi,unverändert,Wagenhaler,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507388,Johann Michael Wenk,Johann Michael Wenk,unverändert,Wagenhaler,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507802,Friedrich Wilhelm Bobritz sen,Friedrich Wilhelm Bobritz sen,unverändert,Kutscher,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507579,Johann Jacob Böttger,Johann Jacob Böttger,unverändert,Kutscher,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Daniel Samuel Brüheim,Daniel Samuel Brüheim,unverändert,Vorreuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Christoph Gotthelf Buckel,Christoph Gotthelf Buckel,unverändert,Vorreuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann David Jung,Johann David Jung,unverändert,Vorreuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Georg Böttcher,Johann Georg Böttcher,unverändert,Vorreuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Lorenz,Johann Lorenz,unverändert,Vorreuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Wilhelm Weidner,Johann Wilhelm Weidner,unverändert,Vorreuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Heinrich Gottfried Fischer,Johann Heinrich Gottfried Fischer,unverändert,Vorreuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Hanß Lorenz Langgut,Hanß Lorenz Langgut,unverändert,Vorreuter,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507931,,Johann Matthäus Rausch,unverändert,Reitschmidt,,,,,,,,,,,Johann ,Matthäus,,,,Rausch
Herzogliche Marstall,Q506928,,Q262503,,Johann Christoph Lange,unverändert,Schmidt,,,,,,,,,,,Johann ,Christoph,,,,Lange
Herzogliche Marstall,Q506928,,,,Johann Christoph Rausch,unverändert,Schmidt,,,,,,,,,,,Johann ,Christoph,,,,Rausch
Herzogliche Marstall,Q506928,,Q513400,,Johann Georg Fischer,unverändert,Kaleschenknecht,,,,,,,,,,,Johann ,Georg,,,,Fischer
Herzogliche Marstall,Q506928,,,Andreas Seyfart,Andreas Seyfart,unverändert,Handlanger,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,,Johann Georg  Göpfer,Johann Georg  Göpfer,unverändert,Knecht bei den Baupferden,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q42240,Johann Christian Schönau,Johann Christian Schönau,unverändert,Maultier-Knecht,,,,,,,,,,,,,,,,
Herzogliche Marstall,Q506928,,Q507853,Philipp Fiedler,Philipp Fiedler,unverändert,Maultier-Knecht,,,,,,,,,,,,,,,,
Studerei-Bediente,Q506825,,Q507063,Andreas Hesse,Andreas Hesse,unverändert,Studenwärter,,,,,,,,,,,,,,,,
Studerei-Bediente,Q506825,,Q507378,Simon Heß,Simon Heß,unverändert,Studenhirt,,,,,,,,,,,,,,,,
Studerei-Bediente,Q506825,,Q507386,Johann Michael Tarr,Johann Michael Darr,unverändert,Fohlenhirt,,,,,,,,,,,,,,,,
Studerei-Bediente,Q506825,,Q507407,Johann Dietsch,Johann Dietsch,unverändert,Hengsthirt,,,,,,,,,,,,,,,,
